cell_id,latitude,longitude,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,source,OC_D1,TOTN_D1,BULK_D1,SAND_D1,SILT_D1,CLAY_D1
4662,45.0355,10.50629,-0.13559914,0.03942081,-0.12938588,0.17731538,0.12835399,0.03912742,0.00232765,-0.31610503,0.0691463,0.1293024,0.07325162,0.08134004,-0.21852381,-0.05100995,0.11541655,0.00169021,0.19140433,-0.12016711,0.02484509,0.0071615,-0.00815904,0.11693187,-0.06067152,0.12857007,-0.03049295,-0.22084145,0.02768822,-0.03959735,0.27940766,0.09466165,-0.20845998,-0.00108438,-0.11499288,0.11993691,0.06933097,-0.02100612,0.02128052,-0.19493525,0.04263169,0.0641429,-0.07761505,0.03985153,-0.13663802,-0.00651337,0.08004922,0.09733229,0.21007876,0.09182274,-0.03949621,-0.19557137,-0.12870261,0.13041686,-0.12481694,0.08404455,-0.07347572,-0.06990537,0.08283651,-0.08659922,0.08006889,-0.08544757,-0.16994348,-0.06316376,-0.20211927,0.26162865,SIMULATED,1.562,1.41,1.41,40,40,20
5294,45.1075,10.50629,-0.03083972,-0.06332308,-0.07930901,0.10218718,0.03226867,-0.05951519,0.05270236,-0.2503636,0.04698001,0.12928869,0.0266358,0.04961393,-0.17018983,0.04093886,-0.01231472,-0.06774268,0.18041328,-0.14216678,-0.04359137,0.02778837,-0.09034485,0.32200157,-0.07706089,0.06048196,-0.04118703,-0.12720514,0.08108445,-0.01238666,0.16869094,0.10720476,-0.22803297,0.14398306,-0.27129906,0.07060799,0.12789123,-0.04246303,0.00692442,-0.26309579,0.11666536,0.0202669,-0.02284412,0.15528891,-0.24627875,-0.14469004,0.13803215,-0.07290044,0.14547945,-0.08978568,0.01240701,-0.08685272,-0.11184498,0.1774073,-0.01017153,0.13780888,-0.01756681,-0.19407276,0.00236117,-0.10204315,0.10200545,0.17260026,-0.13470874,-0.00766934,-0.12562858,0.05850591,SIMULATED,1.562,1.41,1.41,40,40,20
2371,44.7745,10.50629,-0.16288963,-0.13681152,-0.07608934,0.12521417,0.13459501,-0.01004173,-0.04562974,-0.23982449,0.08110899,0.11743491,0.10529975,0.04935149,-0.14117084,0.1427111,0.0018379,0.09315053,0.2402086,-0.21995233,-0.14526613,-0.17598166,0.0262099,0.24288488,-0.1010767,0.0857658,-0.20959722,0.05602598,0.15986287,-0.00430952,0.14133756,-0.16510763,-0.13092585,0.00411057,-0.01612063,0.12290345,-0.06500612,0.00916481,-0.09342865,-0.1350223,0.29108389,-0.05777214,0.1499366,-0.13205949,-0.13833227,0.09943879,-0.08969269,0.13192698,-0.06384478,-0.19970174,0.04569598,-0.06223685,0.09889397,0.09312808,-0.02973781,-0.01344954,-0.18282024,0.17164816,0.04758148,-0.02807653,0.06669278,-0.14951348,0.03781522,-0.03066835,0.02831843,0.07555203,SIMULATED,1.562,1.41,1.41,40,40,20
4583,45.0265,10.50629,-0.1148144,0.05400504,0.02411734,0.12838837,0.1240702,-0.13300818,0.09895935,-0.24312471,0.09745602,0.05894218,0.07793895,0.13575388,-0.16916122,0.02181189,0.02758611,0.06078929,0.22725638,-0.09193824,-0.05186667,-0.13837548,-0.07627996,0.19770746,-0.0856045,0.1724602,-0.07509865,-0.08541134,0.09777649,-0.07197635,0.12475272,-0.01824495,-0.12968972,-0.03046168,-0.15976879,0.21083606,0.09504465,-0.09271621,0.02727493,-0.10094587,0.03905797,0.03767431,-0.07329222,0.14219065,-0.31249294,0.08161117,-0.14288148,0.10294778,0.18433132,-0.06920986,-0.03876183,-0.06856869,-0.09605543,0.28563653,0.05715144,0.10434497,-0.01741448,-0.07401304,0.11083366,-0.05274673,0.18497727,0.04429812,-0.0373428,0.11476686,-0.19078238,0.21968014,SIMULATED,1.562,1.41,1.41,40,40,20
4030,44.9635,10.50629,-0.17880006,0.05290209,-0.0690882,0.2827613,0.13162075,-0.0287107,-0.09457772,-0.18926161,-0.00969359,0.06202643,-0.05995452,0.06272537,-0.20075228,-0.08240691,-0.05368471,0.02657446,0.0855968,-0.04300997,-0.02370743,-0.10063588,0.11568984,0.24090491,0.02141457,0.10839355,-0.18912536,-0.11106465,0.05511396,0.06685188,0.24041587,-0.09043303,-0.10495291,0.00515341,-0.13860542,0.20737475,-0.05075474,-0.01176913,-0.0197745,-0.23198386,0.02991484,0.10362979,0.19805911,0.07021289,-0.24599404,-0.04070237,-0.00872068,0.11825918,0.1427639,-0.22075307,-0.03852575,-0.20308772,-0.11858685,0.06606985,0.02440301,0.03876894,-0.07697892,0.05444909,0.08907354,0.14296003,0.20635982,-0.07130069,-0.04097504,0.06697379,-0.09998729,0.18626855,SIMULATED,1.562,1.41,1.41,40,40,20
3398,44.8915,10.50629,-0.16666802,-0.04586279,-0.10602948,0.0786552,0.03771756,-0.0312296,0.1423319,-0.18487294,-0.04525244,0.16388162,0.09832462,0.17023828,-0.38205874,0.13482663,-0.01150947,-0.00750254,0.15621333,-0.12810691,-0.01858592,-0.14454133,0.0145518,0.05467617,-0.04675473,0.03860651,-0.21803411,-0.02319139,0.11286957,0.0391504,0.19058329,-0.10467687,-0.18885823,0.06380798,-0.0928261,0.19836628,-0.09932118,-0.08851934,-0.19226907,-0.13165304,0.01310841,0.04254944,-0.00410482,-0.01338358,-0.11543424,-0.0872882,0.05985435,-0.01138629,0.02399094,-0.25429856,-0.04368124,-0.10965803,0.09022871,0.17499348,-0.09860009,0.10553933,-0.17248454,0.08040259,0.15396113,0.00806966,0.1460191,-0.19298138,0.01035037,0.06076597,-0.11994595,0.15275082,SIMULATED,1.562,1.41,1.41,40,40,20
2213,44.7565,10.50629,-0.22841668,0.04196159,-0.08637395,0.1631914,0.10797601,0.10917071,-0.01129211,-0.24871832,0.04095558,0.09581786,0.04410674,0.08274011,-0.14947409,-0.03360386,-0.0942567,0.10933774,0.2199057,-0.10587253,0.05370736,-0.14804772,0.17019071,0.1639581,-0.0939424,0.1178038,-0.21785514,-0.07953396,0.09711633,-0.05845898,0.05422383,-0.21055625,-0.10988496,0.06025096,0.01032305,0.10168571,-0.00894382,-0.13439428,-0.08275289,-0.0222447,0.22177302,-0.03666065,0.00588457,0.08099047,-0.13021663,0.0514859,0.05695717,0.07994961,-0.01231377,-0.24544856,0.1060281,-0.08134452,0.28322935,-0.0053772,-0.09862696,-0.04816916,-0.20612336,0.1568266,0.05320189,0.10227419,0.1029726,-0.241945,-0.00449936,0.02761218,0.11717053,0.11419986,SIMULATED,1.562,1.41,1.41,40,40,20
2766,44.8195,10.50629,-0.2532955,-0.09720053,-0.12060551,0.05198219,0.13485431,-0.03754681,-0.08859606,-0.24385901,0.09998151,0.00015844,-0.02696618,0.03308456,-0.2215516,0.03006271,0.04936771,-0.07163933,0.1576551,-0.2491208,-0.03839394,-0.21730112,0.06675469,0.14458753,-0.0536334,0.15637325,-0.15097144,0.00873818,0.12058461,0.00164922,0.26185418,-0.07742489,-0.13268817,0.08559986,0.00302603,0.17138507,0.12086969,-0.00846405,0.01800856,-0.05089503,0.08698756,0.05757562,-0.0772509,-0.11085532,-0.23998528,0.15292913,-0.04151765,0.11228169,0.02872069,-0.2533969,0.04371269,-0.07365717,0.21733963,0.04431752,-0.16343017,0.08042978,-0.17054962,0.09887147,0.06501006,0.06796222,0.06543889,-0.17441596,0.07037314,-0.01379888,0.02785081,0.11463729,SIMULATED,1.562,1.41,1.41,40,40,20
5373,45.1165,10.50629,-0.0713811,0.06779634,-0.03780183,0.1393488,0.07495094,-0.14802289,0.06628273,-0.18355461,0.05804234,0.11631906,0.00153253,0.00251259,-0.18780197,-0.00814377,-0.00074673,-0.05468103,0.13509783,-0.10645499,-0.09529243,-0.09516704,-0.12679746,0.17318578,-0.09930865,0.06181864,0.02624272,-0.14229239,-0.06119922,-0.05274715,0.14138318,0.13782953,-0.23435236,0.06931422,-0.09766399,0.11963753,0.04725908,0.13992837,0.13528299,-0.19294842,0.02773289,0.05951117,0.1979808,0.2148574,-0.20279215,-0.0380473,0.11512137,0.03212225,0.27756598,0.11941117,0.02094391,-0.08111212,-0.23107109,0.2489027,0.09412304,0.06267452,0.01260049,-0.1908513,0.06432237,-0.05291342,0.14572143,0.13368213,-0.18352095,-0.06629069,-0.10804568,0.09171241,SIMULATED,1.562,1.41,1.41,40,40,20
3477,44.9005,10.50629,-0.06262274,-0.02134765,-0.06614573,0.27713482,0.11110374,-0.03088123,-0.02435751,-0.15608354,0.07098826,0.07892668,0.1938868,0.18336845,-0.17883298,0.00538594,0.02795238,0.04288319,0.07233483,-0.3346816,0.03842731,-0.12273082,0.07934842,0.12929737,0.07360341,0.08757995,-0.14898267,-0.0618928,0.04571286,-0.00306933,0.17434522,-0.05784163,-0.08755531,-0.06741364,-0.12524085,0.17863811,0.019317,0.01124521,-0.00535083,-0.23849435,0.14823045,-0.00167852,0.05743644,0.09064629,-0.12456029,0.02724556,0.0080093,0.0690056,0.05320673,-0.22043116,0.10833789,-0.13879112,0.14694669,0.21254269,-0.04233006,0.08120957,-0.19111141,-0.04677893,0.07744145,0.07549844,0.15564365,-0.15511189,0.02627244,0.10387434,-0.01219299,0.29603213,SIMULATED,1.562,1.41,1.41,40,40,20
3556,44.9095,10.50629,-0.10724265,0.09063597,-0.06635774,0.108959,0.0900861,-0.12775469,-0.1379748,-0.11017454,0.02956274,0.09239575,0.06393695,0.03998804,-0.25064196,0.00526337,-0.0519689,-0.02395818,0.22651982,-0.15232926,0.05201541,-0.12247911,-0.07859422,0.12223981,-0.06965325,0.03167059,-0.11562219,-0.03130453,0.07670035,0.03126669,0.09007217,-0.07898615,-0.15091895,-0.00716212,-0.16517605,0.14659404,0.08791991,-0.00065788,-0.12857471,-0.10758757,0.06424979,0.02493214,0.14475065,0.135919,-0.3560663,-0.01714997,-0.00216306,0.11108468,0.09426385,-0.06232079,0.09054057,-0.24147505,0.03483227,0.10604101,-0.16231926,0.05465059,-0.04692504,0.04184772,0.16572012,0.13338605,0.20101406,-0.24097617,-0.15237048,0.13113121,-0.08964444,0.25333666,SIMULATED,1.562,1.41,1.41,40,40,20
4346,44.9995,10.50629,-0.20832278,-0.00056055,-0.26775787,0.11026597,0.05693743,0.05791431,-0.0640431,-0.09185999,0.0052162,-0.0583908,0.07003521,0.11896698,-0.16396696,0.03298843,0.00552703,-0.00539244,0.10983812,-0.17321162,0.05230434,-0.0894892,-0.17094687,0.34087882,-0.06206185,0.0323669,-0.09716908,-0.18284981,0.12942385,-0.12107422,0.10775009,-0.08910809,-0.09954449,0.03809685,-0.00706462,0.2002831,0.03699436,-0.02727317,0.01800527,-0.27212717,0.05834546,-0.0472129,-0.01909343,0.11347487,-0.18408504,0.06288735,-0.0665181,0.08863379,0.15716919,-0.15773845,0.09466287,-0.08810854,-0.04039287,0.26375897,0.00828426,0.0395855,-0.12312634,-0.20875226,0.0726241,-0.02029251,0.15222527,-0.02106709,-0.17205542,-0.00677452,-0.06739202,0.21847885,SIMULATED,1.562,1.41,1.41,40,40,20
159,44.5225,10.50629,-0.08884319,0.08980039,-0.1292976,0.13038584,-0.01286691,-0.086259,0.06722366,-0.07193522,0.17708954,0.0267004,-0.01025366,0.08835078,-0.25263259,0.18201621,0.05950294,0.0790487,0.21719708,-0.14662203,-0.07807424,-0.08426694,0.01552154,0.15855549,-0.03014394,-0.0488085,-0.35022307,0.11176529,0.04319369,0.04416231,0.11971851,-0.17757874,-0.02244507,-0.02719568,0.06003196,0.12748142,-0.23454144,0.00746397,-0.05764928,0.02216955,0.19861193,-0.07855,0.10695522,-0.22531434,0.09246499,0.08738237,0.06769464,0.10163306,-0.17836417,-0.01634964,0.08783861,0.08924367,0.2182426,-0.12988897,-0.01142628,-0.22416041,-0.00067604,0.09530452,0.00527065,-0.07205257,-0.11931813,-0.03143273,0.19692648,-0.03243664,0.16350848,-0.11529025,SIMULATED,1.562,1.41,1.41,40,40,20
4504,45.0175,10.50629,-0.18024399,0.07579497,-0.14406661,0.18583779,0.05386775,-0.04887289,0.14372313,-0.22690884,0.0875505,0.04565403,-0.02579572,0.21654477,-0.2766561,-0.01091204,-0.0559568,0.13567337,0.15896666,-0.11563405,0.01251815,-0.15351697,-0.06531422,0.21665556,0.08352875,0.04681555,-0.08680194,-0.24060992,-0.00067503,0.00581354,0.11263094,-0.10465431,-0.11987443,0.04144819,-0.06108245,0.11534112,0.08473497,0.06968168,-0.01397868,-0.28637852,0.06144757,0.06582637,-0.03087747,0.11185406,-0.20339647,-0.00291023,0.11690686,0.0095197,0.21474163,-0.17145631,-0.03931035,-0.15750715,0.01390226,0.21418191,-0.00941414,0.00996741,-0.09452867,-0.09360427,0.1074506,-0.05255584,0.20886246,-0.04822296,-0.13387283,-0.07547992,-0.03856452,0.08026408,SIMULATED,1.562,1.41,1.41,40,40,20
80,44.5135,10.50629,0.02203323,-0.02285697,-0.1741681,0.20916917,0.03907917,-0.10892918,-0.00389284,-0.12311382,0.13956795,0.07110664,0.01344839,0.00316176,-0.37111218,0.02420683,-0.03238233,0.09535349,0.16351474,-0.15537619,-0.01162253,-0.05539175,0.12772291,0.10475911,0.03898877,0.12720552,-0.15330394,0.03501424,0.13257017,0.00737394,0.07877127,-0.25266111,-0.00683513,0.06960163,-0.01697111,0.08636034,-0.1350626,0.02341892,-0.09818262,0.01655816,0.09809699,-0.08087309,0.02645879,-0.16900023,0.09279049,0.02270194,0.02273089,0.08427545,-0.1765031,-0.06882693,0.05421744,0.08579604,0.23167587,-0.28993906,-0.17467584,-0.13849428,0.07141727,0.29574165,-0.00420552,-0.03014074,-0.15327211,-0.03231053,0.10230965,0.07387906,0.0488873,-0.19549636,SIMULATED,1.562,1.41,1.41,40,40,20
2529,44.7925,10.50629,-0.11622285,-0.03281854,-0.06758096,0.11159412,0.13897238,-0.08664483,-0.09627416,-0.10495723,-0.01438971,0.1097465,0.0046368,-0.04964737,-0.26402588,-0.01665237,-0.00196544,0.12978076,0.24556605,-0.14928472,0.03551944,-0.08571664,-0.11111816,0.18452626,-0.07335884,-0.0172441,-0.1478842,-0.05557735,0.20534242,0.14068222,0.29787467,-0.09176549,-0.12162041,0.02668179,0.03371542,0.23545664,-0.03571542,-0.06956946,-0.15180229,-0.11385736,0.30636502,-0.02071163,-0.0083875,0.01522868,-0.26501955,0.15409738,0.04947429,0.06521796,0.01892856,-0.05076891,-0.01646315,-0.12161442,0.0792736,0.12579637,-0.05417515,0.04257474,-0.18305957,0.18605908,0.07879728,0.03160614,0.08798508,-0.15243609,0.04561893,-0.06025329,0.0582268,0.15043912,SIMULATED,1.562,1.41,1.41,40,40,20
4188,44.9815,10.50629,-0.03583984,0.09543072,-0.03084834,0.27155889,0.02751056,0.00916458,-0.07080523,-0.17690866,0.04127268,0.09630532,0.04110266,0.05860817,-0.17685407,-0.03421018,-0.01834754,0.05814279,0.21026904,-0.12231674,0.00342377,-0.13360197,-0.07486462,0.20406675,-0.01930979,0.15612372,-0.19062839,-0.14857267,0.0777358,0.00815125,0.19257733,-0.06358098,-0.08758856,0.03628537,-0.11595477,0.18991858,0.04971731,0.09588589,-0.12670127,-0.11476758,0.21094608,0.13167807,-0.0290677,0.0199124,-0.19476546,-0.06853096,0.00173412,0.19054217,0.22001456,-0.08602176,-0.06201376,-0.10893324,0.01467961,0.14724623,-0.06310096,0.08215137,-0.02466846,-0.17563727,0.02466416,0.02126301,0.2353269,-0.1703088,-0.09285706,0.03857592,-0.22284027,0.22042021,SIMULATED,1.562,1.41,1.41,40,40,20
4425,45.0085,10.50629,-0.08257538,0.06575862,-0.1101702,0.14411531,0.00136657,-0.09646885,-0.01539583,-0.25995428,0.02067437,-0.03693663,-0.08752752,0.16896426,-0.22063961,-0.06170434,0.01137648,0.08060109,0.1249141,-0.07616858,-0.06764747,-0.08568737,-0.04384532,0.20461414,0.03852205,0.08684937,-0.0517326,-0.08208616,0.10047776,-0.05133854,0.27263072,0.00085049,-0.24676411,-0.00162861,-0.11480233,0.16171555,0.10003361,0.03087511,-0.02930665,-0.17968797,0.0458608,0.14113451,0.03704327,0.07402756,-0.3227939,0.06194804,-0.06002161,-0.01050554,0.25733615,-0.07447034,-0.10548108,-0.00918274,-0.04106502,0.10098301,-0.00167643,0.05425741,-0.13718921,-0.16734379,0.02200302,-0.19608041,0.22636151,-0.11278816,-0.16137805,-0.02283056,-0.17916102,0.08919191,SIMULATED,1.562,1.41,1.41,40,40,20
4109,44.9725,10.50629,-0.22559397,-0.02145912,-0.23917687,0.11602727,0.0882419,-0.05053985,-0.09888282,-0.208585,0.09524106,0.01567945,0.02776558,0.05638714,-0.36657832,-0.00831319,0.00190805,0.12343978,0.16460128,-0.10141686,-0.02635732,-0.09275999,-0.01626569,0.15910428,-0.04446206,0.10581078,-0.15562403,-0.05423923,0.07895752,0.06045486,0.23863626,-0.05249333,-0.09435602,0.05549551,-0.0911085,0.13759879,0.01901069,-0.0236004,0.02451089,-0.32462053,0.08794954,-0.03565584,0.02801668,-0.01449157,-0.14164695,-0.04622569,-0.01377262,0.02784788,0.04846901,-0.20463905,0.12202047,-0.11639648,-0.02719904,0.28350377,-0.02533394,-0.03630862,-0.10993517,-0.01288202,0.00638113,-0.01328423,0.09670952,-0.07758639,-0.10740205,-0.05463118,-0.14495052,0.26612391,SIMULATED,1.562,1.41,1.41,40,40,20
2134,44.7475,10.50629,-0.15289861,0.03053518,-0.21393807,0.19985679,0.23084855,-0.11395883,0.03973111,-0.11498018,0.04689527,0.05107522,0.02137691,0.09382768,-0.07666198,-0.0554288,-0.1879375,0.02035446,0.21498734,-0.17178047,0.11109039,-0.20921678,-0.04826977,0.18837266,0.039994,-0.02185125,-0.17362067,0.0515823,0.1446962,0.08587811,0.08318389,-0.17694056,-0.19889179,0.06580079,-0.00242504,0.2081228,-0.06877275,-0.05320284,-0.1243241,-0.00946944,0.24165044,-0.02149168,0.03409497,-0.01806331,-0.17657758,0.07021559,-0.12527182,0.24247363,0.02329317,-0.10399733,0.00666041,-0.10180505,0.19605949,0.03624943,-0.05998221,0.01952025,-0.21400111,0.19659098,-0.00938284,0.07544937,-0.02863136,-0.0730786,0.01182832,0.00871637,0.16801929,0.08650977,SIMULATED,1.562,1.41,1.41,40,40,20
